id,comida_preferida,frecuencia_consumo,gasto_promedio,satisfaccion_producto,satisfaccion_servicio,tiempo_entrega,precio_percepcion,recomendaria_nps,volveria_comprar,calificacion_general
17830,Hamburguesas,Ocasional,43,8,10,Rápido,Medio,10,Sí,9
17831,Pollo Frito,Ocasional,119,8,9,Aceptable,Bajo,6,No,8
17832,Tacos,Quincenal,36,6,7,Rápido,Alto,8,Sí,7
17833,Pizza,Semanal,58,5,3,Rápido,Alto,3,No,4
17834,Tacos,Quincenal,41,8,3,Aceptable,Medio,9,Sí,7
17835,Pizza,Mensual,49,5,7,Rápido,Medio,0,Sí,4
17836,Pollo Frito,Mensual,109,3,7,Aceptable,Medio,2,Sí,4
17837,Sándwiches,Quincenal,58,8,4,Aceptable,Bajo,9,Sí,7
17838,Pollo Frito,Quincenal,99,7,10,Rápido,Medio,6,No,8
17839,Tacos,Ocasional,25,4,10,Aceptable,Medio,9,Sí,8
17840,Hot Dogs,Quincenal,43,7,5,Aceptable,Medio,10,Sí,7
17841,Pollo Frito,Semanal,79,8,8,Aceptable,Alto,8,Sí,8
17842,Tacos,Semanal,78,2,8,Lento,Medio,6,No,5
17843,Hot Dogs,Semanal,63,9,1,Rápido,Bajo,9,Sí,6
17844,Hamburguesas,Semanal,91,5,0,Aceptable,Alto,9,Sí,5
17845,Pollo Frito,Quincenal,62,10,3,Aceptable,Medio,6,No,6
17846,Tacos,Semanal,75,10,10,Rápido,Medio,6,Sí,9
17847,Hamburguesas,Semanal,51,8,5,Aceptable,Medio,9,Sí,7
17848,Hamburguesas,Diario,73,6,9,Rápido,Medio,9,Sí,8
17849,Pollo Frito,Mensual,130,9,10,Aceptable,Bajo,6,No,8
17850,Pizza,Mensual,60,7,8,Rápido,Medio,8,Sí,8
17851,Tacos,Mensual,31,10,2,Aceptable,Alto,4,Sí,5
17852,Shawarmas,Quincenal,39,7,5,Rápido,Medio,9,Sí,7
17853,Shawarmas,Semanal,44,5,8,Aceptable,Medio,8,No,7
17854,Pizza,Mensual,119,7,9,Lento,Medio,7,Sí,8
17855,Hamburguesas,Quincenal,47,9,1,Aceptable,Bajo,7,Sí,6
17856,Hamburguesas,Mensual,54,7,8,Aceptable,Medio,2,No,6
17857,Hamburguesas,Quincenal,109,7,9,Rápido,Medio,9,Sí,8
17858,Hamburguesas,Semanal,65,5,7,Rápido,Bajo,5,No,6
17859,Pizza,Quincenal,154,10,8,Lento,Medio,5,Sí,8
17860,Pizza,Semanal,149,6,4,Rápido,Medio,8,Sí,6
17861,Hot Dogs,Semanal,23,7,3,Aceptable,Medio,8,Sí,6
17862,Pizza,Ocasional,142,9,6,Rápido,Bajo,7,Sí,7
17863,Shawarmas,Quincenal,77,7,10,Rápido,Medio,2,No,6
17864,Hamburguesas,Mensual,53,9,8,Aceptable,Medio,9,Sí,9
17865,Pollo Frito,Semanal,59,10,7,Lento,Alto,8,Sí,8
17866,Hamburguesas,Mensual,95,8,8,Lento,Medio,8,Sí,8
17867,Hamburguesas,Semanal,89,6,10,Rápido,Alto,3,Sí,6
17868,Pollo Frito,Semanal,51,6,2,Aceptable,Alto,8,Sí,5
17869,Tacos,Diario,67,6,7,Aceptable,Alto,9,Sí,7
17870,Tacos,Semanal,25,9,7,Aceptable,Alto,7,Sí,8
17871,Hamburguesas,Mensual,77,9,6,Rápido,Medio,8,Sí,8
17872,Pizza,Semanal,103,8,5,Aceptable,Alto,10,Sí,8
17873,Tacos,Mensual,56,8,4,Lento,Medio,7,Sí,6
17874,Pizza,Semanal,135,5,7,Aceptable,Medio,10,No,7
17875,Tacos,Mensual,74,4,5,Rápido,Medio,6,No,5
17876,Hamburguesas,Quincenal,69,9,0,Aceptable,Medio,9,Sí,6
17877,Hamburguesas,Mensual,117,4,8,Rápido,Bajo,10,Sí,7
17878,Tacos,Semanal,42,4,9,Rápido,Alto,4,No,6
17879,Hamburguesas,Ocasional,85,5,9,Lento,Bajo,7,No,7
17880,Pizza,Ocasional,81,7,4,Aceptable,Medio,8,Sí,6
17881,Pollo Frito,Ocasional,110,6,6,Rápido,Medio,5,Sí,6
17882,Shawarmas,Ocasional,67,0,9,Rápido,Bajo,10,No,6
17883,Pizza,Mensual,109,0,5,Aceptable,Medio,5,Sí,3
17884,Hamburguesas,Mensual,57,7,7,Aceptable,Alto,7,Sí,7
17885,Sándwiches,Quincenal,37,2,8,Rápido,Bajo,1,No,4
17886,Pollo Frito,Semanal,69,9,10,Lento,Medio,8,Sí,9
17887,Pollo Frito,Ocasional,52,7,9,Aceptable,Medio,9,Sí,8
17888,Pizza,Quincenal,153,7,9,Aceptable,Medio,7,Sí,8
17889,Pizza,Quincenal,127,7,6,Aceptable,Bajo,8,Sí,7
17890,Pizza,Quincenal,51,6,10,Rápido,Medio,3,Sí,6
17891,Pollo Frito,Mensual,128,8,7,Rápido,Alto,9,Sí,8
17892,Hamburguesas,Mensual,82,10,1,Aceptable,Bajo,8,Sí,6
17893,Pizza,Semanal,110,10,6,Lento,Medio,9,Sí,8
17894,Pollo Frito,Semanal,62,2,1,Rápido,Alto,8,No,4
17895,Pizza,Mensual,77,7,5,Lento,Medio,5,Sí,6
17896,Shawarmas,Semanal,37,9,6,Rápido,Medio,8,Sí,8
17897,Pizza,Mensual,138,4,9,Rápido,Medio,0,No,4
17898,Pizza,Mensual,87,8,7,Lento,Medio,3,Sí,6
17899,Pizza,Mensual,85,9,5,Aceptable,Medio,10,Sí,8
17900,Hamburguesas,Semanal,86,8,6,Aceptable,Medio,8,Sí,7
17901,Pizza,Ocasional,52,8,9,Rápido,Medio,7,Sí,8
17902,Pizza,Semanal,129,9,10,Aceptable,Bajo,6,No,8
17903,Hamburguesas,Semanal,96,10,5,Lento,Bajo,10,Sí,8
17904,Pizza,Ocasional,154,10,7,Rápido,Alto,8,Sí,8
17905,Hamburguesas,Semanal,36,9,0,Rápido,Medio,0,Sí,3
17906,Sándwiches,Semanal,55,6,9,Aceptable,Medio,10,Sí,8
17907,Pizza,Semanal,148,9,6,Rápido,Medio,9,Sí,8
17908,Pizza,Semanal,140,8,8,Rápido,Medio,8,Sí,8
17909,Pizza,Mensual,83,4,8,Aceptable,Medio,10,Sí,7
17910,Pollo Frito,Mensual,128,10,9,Rápido,Medio,6,No,8
17911,Pizza,Semanal,150,1,6,Rápido,Medio,10,Sí,6
17912,Pizza,Quincenal,85,6,7,Aceptable,Alto,7,Sí,7
17913,Sándwiches,Semanal,31,4,8,Rápido,Medio,0,No,4
17914,Pizza,Semanal,114,10,3,Rápido,Medio,10,Sí,8
17915,Hamburguesas,Semanal,93,3,5,Aceptable,Bajo,8,Sí,5
17916,Hamburguesas,Semanal,40,8,1,Lento,Medio,7,Sí,5
17917,Tacos,Ocasional,69,9,10,Aceptable,Medio,10,Sí,10
17918,Pizza,Mensual,56,9,2,Rápido,Medio,9,Sí,7
17919,Sándwiches,Semanal,28,4,9,Rápido,Medio,0,No,4
17920,Sándwiches,Semanal,69,6,8,Rápido,Medio,7,Sí,7
17921,Pollo Frito,Quincenal,93,4,9,Aceptable,Alto,5,No,6
17922,Pollo Frito,Semanal,104,9,10,Aceptable,Medio,2,Sí,7
17923,Pizza,Quincenal,56,6,4,Lento,Medio,7,Sí,6
17924,Shawarmas,Semanal,75,1,1,Rápido,Bajo,5,Sí,2
17925,Pollo Frito,Quincenal,87,5,10,Rápido,Medio,3,No,6
17926,Pizza,Semanal,145,8,5,Rápido,Bajo,7,Sí,7
17927,Hamburguesas,Quincenal,75,4,9,Aceptable,Medio,5,No,6
17928,Pollo Frito,Mensual,126,10,7,Aceptable,Medio,2,Sí,6
17929,Hot Dogs,Ocasional,42,9,10,Aceptable,Alto,10,Sí,10
17930,Tacos,Quincenal,32,7,7,Lento,Medio,5,Sí,6
17931,Pollo Frito,Mensual,66,5,8,Lento,Bajo,0,Sí,4
17932,Pizza,Ocasional,46,8,8,Rápido,Alto,8,Sí,8
17933,Sándwiches,Ocasional,95,2,8,Rápido,Alto,10,No,7
17934,Hamburguesas,Semanal,110,7,7,Rápido,Alto,7,Sí,7
17935,Tacos,Semanal,54,3,8,Aceptable,Medio,8,No,6
17936,Pizza,Diario,143,8,7,Lento,Bajo,7,Sí,7
17937,Hamburguesas,Mensual,81,7,9,Rápido,Alto,4,No,7
17938,Pizza,Semanal,74,5,5,Aceptable,Medio,9,No,6
17939,Hot Dogs,Semanal,69,8,3,Aceptable,Medio,9,Sí,7
17940,Pizza,Quincenal,109,2,9,Aceptable,Medio,10,No,7
17941,Pizza,Semanal,56,2,9,Rápido,Medio,9,No,7
17942,Hamburguesas,Quincenal,56,8,0,Rápido,Medio,7,Sí,5
17943,Hamburguesas,Semanal,58,0,5,Rápido,Bajo,8,No,4
17944,Pollo Frito,Mensual,57,9,9,Aceptable,Alto,6,No,8
17945,Tacos,Semanal,56,3,6,Aceptable,Alto,9,Sí,6
17946,Hot Dogs,Quincenal,66,4,6,Rápido,Medio,8,No,6
17947,Tacos,Mensual,30,6,9,Lento,Alto,6,Sí,7
17948,Hamburguesas,Semanal,93,8,8,Rápido,Alto,6,Sí,7
17949,Tacos,Quincenal,34,6,8,Aceptable,Medio,8,Sí,7
17950,Pollo Frito,Mensual,91,6,10,Lento,Alto,6,Sí,7
17951,Tacos,Semanal,29,8,8,Aceptable,Medio,9,Sí,8
17952,Hot Dogs,Ocasional,72,5,2,Aceptable,Medio,6,No,4
17953,Tacos,Ocasional,60,0,9,Aceptable,Medio,8,Sí,6
17954,Sándwiches,Quincenal,35,9,3,Aceptable,Bajo,7,Sí,6
17955,Shawarmas,Semanal,85,8,9,Aceptable,Medio,0,No,6
17956,Pizza,Quincenal,143,9,2,Aceptable,Medio,6,Sí,6
17957,Pizza,Semanal,129,6,6,Rápido,Medio,6,Sí,6
17958,Hot Dogs,Diario,42,8,9,Aceptable,Medio,6,No,8
17959,Pollo Frito,Semanal,89,8,8,Aceptable,Alto,5,Sí,7
17960,Hamburguesas,Semanal,77,0,7,Rápido,Bajo,9,Sí,5
17961,Tacos,Semanal,35,8,9,Rápido,Alto,9,Sí,9
17962,Sándwiches,Quincenal,64,0,8,Rápido,Alto,3,No,4
17963,Pizza,Ocasional,152,9,10,Aceptable,Medio,0,Sí,6
17964,Shawarmas,Quincenal,67,8,5,Rápido,Medio,10,Sí,8
17965,Hamburguesas,Quincenal,81,4,7,Lento,Medio,7,No,6
17966,Shawarmas,Quincenal,48,10,9,Rápido,Medio,8,Sí,9
17967,Hamburguesas,Mensual,44,5,9,Rápido,Medio,8,No,7
17968,Hamburguesas,Quincenal,107,8,7,Aceptable,Bajo,2,No,6
17969,Pizza,Mensual,156,6,3,Aceptable,Medio,6,No,5
17970,Tacos,Quincenal,55,5,6,Aceptable,Alto,8,Sí,6
17971,Hot Dogs,Mensual,62,7,7,Aceptable,Alto,7,Sí,7
17972,Tacos,Semanal,35,5,6,Rápido,Alto,8,No,6
17973,Hamburguesas,Semanal,107,1,9,Aceptable,Alto,9,Sí,6
17974,Pizza,Mensual,84,9,6,Lento,Bajo,8,Sí,8
17975,Pollo Frito,Mensual,80,7,7,Aceptable,Medio,8,Sí,7
17976,Pizza,Mensual,135,7,6,Aceptable,Medio,5,No,6
17977,Hamburguesas,Quincenal,92,7,6,Aceptable,Medio,9,Sí,7
17978,Hamburguesas,Mensual,43,7,3,Aceptable,Medio,10,Sí,7
17979,Hamburguesas,Semanal,100,3,1,Aceptable,Medio,2,No,2
17980,Hot Dogs,Quincenal,58,3,4,Rápido,Bajo,10,No,6
17981,Sándwiches,Diario,26,6,9,Aceptable,Medio,9,Sí,8
17982,Pizza,Diario,128,5,9,Aceptable,Medio,8,No,7
17983,Pizza,Mensual,120,6,9,Rápido,Medio,6,No,7
17984,Hamburguesas,Quincenal,43,6,8,Aceptable,Medio,2,Sí,5
17985,Hot Dogs,Mensual,30,9,9,Lento,Medio,7,Sí,8
17986,Hot Dogs,Quincenal,28,7,0,Aceptable,Alto,3,Sí,3
17987,Hot Dogs,Diario,23,4,4,Aceptable,Medio,3,No,4
17988,Hot Dogs,Semanal,45,10,5,Rápido,Medio,8,Sí,8
17989,Pollo Frito,Semanal,98,7,5,Lento,Medio,8,Sí,7
17990,Hamburguesas,Ocasional,102,10,7,Aceptable,Medio,8,Sí,8
17991,Pollo Frito,Quincenal,74,4,7,Rápido,Medio,4,Sí,5
17992,Shawarmas,Semanal,76,1,8,Rápido,Medio,8,No,6
17993,Shawarmas,Diario,30,1,10,Rápido,Bajo,9,Sí,7
17994,Pollo Frito,Quincenal,81,5,6,Aceptable,Medio,6,Sí,6
17995,Hamburguesas,Semanal,103,9,6,Rápido,Medio,9,Sí,8
17996,Hamburguesas,Ocasional,47,4,8,Aceptable,Medio,1,Sí,4
17997,Tacos,Mensual,25,7,10,Rápido,Alto,9,Sí,9
17998,Pizza,Quincenal,55,10,0,Lento,Alto,8,Sí,6
17999,Pollo Frito,Semanal,89,8,7,Aceptable,Medio,4,Sí,6
18000,Tacos,Semanal,40,1,8,Aceptable,Medio,6,Sí,5
18001,Shawarmas,Quincenal,93,9,10,Rápido,Medio,9,Sí,9
18002,Pizza,Semanal,122,9,9,Rápido,Bajo,4,No,7
18003,Pollo Frito,Semanal,87,5,8,Rápido,Bajo,6,Sí,6
18004,Pizza,Semanal,104,8,10,Rápido,Medio,10,Sí,9
18005,Pizza,Quincenal,67,8,8,Aceptable,Medio,8,Sí,8
18006,Hamburguesas,Semanal,47,5,7,Rápido,Medio,6,Sí,6
18007,Shawarmas,Quincenal,52,9,3,Rápido,Bajo,7,Sí,6
18008,Pollo Frito,Ocasional,87,7,0,Aceptable,Bajo,10,Sí,6
18009,Pizza,Diario,106,7,6,Aceptable,Alto,1,No,5
18010,Pizza,Quincenal,96,9,7,Aceptable,Medio,5,No,7
18011,Tacos,Semanal,87,8,8,Aceptable,Alto,0,Sí,5
18012,Hamburguesas,Semanal,92,8,7,Rápido,Medio,10,Sí,8
18013,Hamburguesas,Mensual,38,9,8,Aceptable,Medio,8,Sí,8
18014,Hamburguesas,Semanal,65,10,5,Aceptable,Medio,5,No,7
18015,Pizza,Quincenal,103,7,10,Rápido,Medio,7,Sí,8
18016,Hamburguesas,Quincenal,66,7,6,Rápido,Medio,10,Sí,8
18017,Pizza,Ocasional,111,8,10,Rápido,Medio,1,Sí,6
18018,Hamburguesas,Semanal,95,7,6,Rápido,Medio,10,Sí,8
18019,Pizza,Mensual,140,8,9,Rápido,Alto,10,Sí,9
18020,Pizza,Semanal,46,8,8,Aceptable,Medio,3,Sí,6
18021,Tacos,Semanal,70,4,4,Aceptable,Medio,8,No,5
18022,Pizza,Quincenal,91,10,6,Rápido,Medio,3,No,6
18023,Tacos,Semanal,82,9,8,Rápido,Alto,8,Sí,8
18024,Hamburguesas,Semanal,41,0,9,Rápido,Medio,8,No,6
18025,Pollo Frito,Ocasional,82,10,10,Aceptable,Alto,6,No,9
18026,Sándwiches,Semanal,69,1,10,Rápido,Medio,5,Sí,5
18027,Hot Dogs,Mensual,46,1,9,Rápido,Alto,9,Sí,6
18028,Hamburguesas,Mensual,105,9,0,Rápido,Alto,10,Sí,6
18029,Hamburguesas,Quincenal,91,8,8,Rápido,Medio,3,No,6
18030,Pollo Frito,Semanal,110,9,7,Aceptable,Medio,5,No,7
18031,Hamburguesas,Semanal,95,9,9,Rápido,Alto,9,Sí,9
18032,Shawarmas,Mensual,59,6,5,Rápido,Medio,10,Sí,7
18033,Pizza,Ocasional,122,6,10,Aceptable,Bajo,6,Sí,7
18034,Pollo Frito,Mensual,74,6,8,Rápido,Bajo,8,Sí,7
18035,Hamburguesas,Diario,85,9,9,Rápido,Medio,8,Sí,9
18036,Tacos,Diario,68,6,9,Aceptable,Medio,9,Sí,8
18037,Pizza,Semanal,160,8,10,Aceptable,Alto,10,Sí,9
18038,Tacos,Mensual,41,8,7,Rápido,Medio,1,No,5
18039,Pollo Frito,Quincenal,36,8,8,Rápido,Medio,9,Sí,8
18040,Pollo Frito,Mensual,116,9,8,Rápido,Medio,9,Sí,9
18041,Hot Dogs,Semanal,33,8,1,Rápido,Alto,10,Sí,6
18042,Tacos,Semanal,60,3,9,Lento,Medio,10,Sí,7
18043,Hot Dogs,Semanal,56,6,9,Rápido,Alto,10,Sí,8
18044,Pollo Frito,Quincenal,66,5,10,Aceptable,Medio,8,Sí,8
18045,Pollo Frito,Semanal,91,8,0,Rápido,Medio,7,Sí,5
18046,Hamburguesas,Semanal,117,8,5,Aceptable,Alto,5,Sí,6
18047,Sándwiches,Mensual,54,5,8,Rápido,Medio,5,Sí,6
18048,Pollo Frito,Ocasional,120,8,5,Rápido,Bajo,3,No,5
18049,Pollo Frito,Semanal,41,8,10,Lento,Alto,4,No,7
18050,Hamburguesas,Semanal,55,8,8,Aceptable,Medio,10,Sí,9
18051,Pizza,Quincenal,103,10,3,Rápido,Medio,3,Sí,5
18052,Hot Dogs,Ocasional,53,9,7,Lento,Bajo,7,Sí,8
18053,Hamburguesas,Semanal,46,7,2,Lento,Alto,3,Sí,4
18054,Hot Dogs,Diario,64,6,10,Aceptable,Medio,6,Sí,7
18055,Hamburguesas,Quincenal,120,4,10,Rápido,Medio,8,Sí,7
18056,Hot Dogs,Semanal,50,9,6,Aceptable,Medio,9,Sí,8
18057,Pizza,Semanal,63,7,8,Aceptable,Medio,10,Sí,8
18058,Shawarmas,Mensual,78,1,2,Rápido,Alto,10,No,4
18059,Hot Dogs,Mensual,68,9,10,Aceptable,Alto,9,Sí,9
18060,Pizza,Ocasional,115,1,6,Rápido,Alto,6,Sí,4
18061,Hot Dogs,Quincenal,48,9,5,Aceptable,Bajo,7,Sí,7
18062,Pizza,Quincenal,84,10,6,Rápido,Bajo,9,Sí,8
18063,Pizza,Ocasional,78,7,4,Rápido,Medio,5,Sí,5
18064,Hamburguesas,Mensual,87,5,3,Rápido,Alto,10,Sí,6
18065,Sándwiches,Semanal,87,6,9,Rápido,Medio,4,No,6
18066,Pollo Frito,Diario,66,9,7,Rápido,Alto,10,Sí,9
18067,Hamburguesas,Ocasional,110,1,6,Rápido,Medio,3,No,3
18068,Pizza,Mensual,150,7,10,Aceptable,Medio,10,Sí,9
18069,Pizza,Quincenal,46,1,2,Rápido,Medio,8,No,4
18070,Pizza,Quincenal,60,7,7,Rápido,Alto,9,Sí,8
18071,Hamburguesas,Semanal,83,5,9,Aceptable,Medio,5,No,6
18072,Sándwiches,Semanal,73,2,4,Rápido,Medio,7,No,4
18073,Pizza,Mensual,47,7,7,Rápido,Bajo,5,Sí,6
18074,Pizza,Mensual,147,2,6,Lento,Medio,4,No,4
18075,Tacos,Mensual,68,10,3,Aceptable,Alto,9,Sí,7
18076,Hamburguesas,Mensual,87,7,9,Lento,Alto,10,Sí,9
18077,Pollo Frito,Mensual,64,7,2,Rápido,Medio,7,Sí,5
18078,Hamburguesas,Semanal,104,4,4,Rápido,Bajo,9,Sí,6
18079,Pollo Frito,Mensual,70,10,8,Rápido,Medio,9,Sí,9
18080,Tacos,Mensual,77,6,10,Lento,Medio,8,Sí,8
18081,Pizza,Semanal,118,1,5,Rápido,Medio,5,Sí,4
18082,Pizza,Semanal,100,5,10,Rápido,Medio,4,No,6
18083,Sándwiches,Mensual,75,0,0,Aceptable,Bajo,6,No,2
18084,Shawarmas,Semanal,38,1,3,Aceptable,Medio,8,No,4
18085,Pizza,Mensual,58,8,2,Rápido,Medio,9,Sí,6
18086,Tacos,Quincenal,41,6,6,Aceptable,Alto,8,Sí,7
18087,Pizza,Mensual,70,6,8,Aceptable,Medio,6,No,7
18088,Pizza,Quincenal,152,10,3,Aceptable,Medio,7,Sí,7
18089,Hamburguesas,Quincenal,49,4,5,Rápido,Alto,3,Sí,4
18090,Sándwiches,Semanal,70,9,5,Aceptable,Alto,8,Sí,7
18091,Hot Dogs,Quincenal,30,1,6,Rápido,Alto,9,No,5
18092,Tacos,Mensual,88,5,6,Aceptable,Bajo,5,Sí,5
18093,Pizza,Semanal,120,5,1,Rápido,Alto,8,Sí,5
18094,Hamburguesas,Semanal,49,6,8,Lento,Bajo,1,Sí,5
18095,Hamburguesas,Semanal,64,5,10,Rápido,Medio,9,Sí,8
18096,Sándwiches,Semanal,27,9,9,Rápido,Medio,3,No,7
18097,Pizza,Ocasional,49,2,9,Rápido,Medio,8,Sí,6
18098,Tacos,Semanal,66,8,5,Rápido,Medio,10,Sí,8
18099,Shawarmas,Mensual,91,2,9,Rápido,Alto,5,Sí,5
18100,Tacos,Mensual,88,6,9,Aceptable,Medio,9,Sí,8
18101,Pollo Frito,Mensual,107,3,10,Rápido,Bajo,9,No,7
18102,Pizza,Mensual,67,7,7,Rápido,Alto,8,Sí,7
18103,Pollo Frito,Quincenal,90,9,9,Lento,Medio,10,Sí,9
18104,Hamburguesas,Semanal,56,8,0,Aceptable,Alto,10,Sí,6
18105,Hot Dogs,Mensual,65,8,10,Aceptable,Medio,4,Sí,7
18106,Pizza,Diario,109,9,9,Aceptable,Medio,9,Sí,9
18107,Hamburguesas,Mensual,68,8,10,Aceptable,Alto,8,Sí,9
18108,Tacos,Semanal,59,7,5,Rápido,Alto,10,Sí,7
18109,Tacos,Quincenal,35,4,9,Aceptable,Medio,9,Sí,7
18110,Pizza,Quincenal,93,10,4,Aceptable,Medio,5,No,6
18111,Pollo Frito,Quincenal,117,5,9,Rápido,Alto,7,No,7
18112,Tacos,Semanal,70,2,8,Rápido,Medio,7,Sí,6
18113,Hot Dogs,Ocasional,38,10,5,Rápido,Medio,6,No,7
18114,Hamburguesas,Quincenal,92,8,0,Aceptable,Medio,8,Sí,5
18115,Hamburguesas,Mensual,96,9,6,Aceptable,Medio,7,Sí,7
18116,Shawarmas,Semanal,64,4,7,Rápido,Bajo,9,Sí,7
18117,Hamburguesas,Semanal,114,10,10,Rápido,Medio,10,Sí,10
18118,Pollo Frito,Mensual,89,5,7,Rápido,Medio,9,No,7
18119,Tacos,Quincenal,25,9,7,Lento,Medio,3,Sí,6
18120,Hamburguesas,Quincenal,102,6,3,Rápido,Alto,8,Sí,6
18121,Hamburguesas,Semanal,108,6,8,Aceptable,Medio,8,Sí,7
18122,Sándwiches,Mensual,34,9,8,Lento,Medio,4,Sí,7
18123,Pizza,Ocasional,70,9,4,Rápido,Bajo,6,No,6
18124,Tacos,Semanal,26,9,6,Aceptable,Alto,2,No,6
18125,Pizza,Semanal,70,9,5,Rápido,Medio,8,Sí,7
18126,Pizza,Mensual,62,5,3,Rápido,Medio,8,No,5
18127,Hamburguesas,Diario,40,8,3,Aceptable,Medio,8,Sí,6
18128,Pizza,Quincenal,104,10,5,Rápido,Alto,9,Sí,8
18129,Pizza,Mensual,130,10,3,Aceptable,Medio,4,Sí,6
18130,Pizza,Mensual,80,0,10,Rápido,Medio,7,Sí,6
18131,Tacos,Semanal,56,8,1,Rápido,Alto,8,Sí,6
18132,Hamburguesas,Mensual,108,9,10,Aceptable,Alto,0,No,6
18133,Pollo Frito,Quincenal,128,10,5,Aceptable,Medio,9,Sí,8
18134,Pollo Frito,Quincenal,43,7,2,Aceptable,Medio,7,Sí,5
18135,Hamburguesas,Ocasional,115,10,10,Aceptable,Medio,6,Sí,9
18136,Tacos,Mensual,36,10,8,Rápido,Medio,2,Sí,7
18137,Hamburguesas,Semanal,60,9,8,Rápido,Medio,8,Sí,8
18138,Sándwiches,Ocasional,93,6,7,Rápido,Medio,6,Sí,6
18139,Hamburguesas,Semanal,81,1,10,Aceptable,Alto,10,Sí,7
18140,Hamburguesas,Semanal,103,10,9,Aceptable,Medio,7,Sí,9
18141,Pizza,Quincenal,82,9,6,Rápido,Bajo,8,Sí,8
18142,Pollo Frito,Semanal,127,0,8,Rápido,Medio,4,No,4
18143,Pollo Frito,Ocasional,123,7,9,Rápido,Medio,2,Sí,6
18144,Tacos,Mensual,84,9,10,Lento,Alto,10,Sí,10
18145,Tacos,Semanal,78,10,5,Rápido,Medio,4,No,6
18146,Hamburguesas,Diario,73,6,10,Rápido,Medio,8,Sí,8
18147,Pollo Frito,Semanal,98,6,8,Rápido,Medio,5,No,6
18148,Pizza,Mensual,54,8,8,Aceptable,Medio,9,Sí,8
18149,Pizza,Quincenal,104,2,2,Lento,Medio,8,No,4
18150,Sándwiches,Ocasional,40,9,10,Rápido,Medio,6,Sí,8
18151,Pollo Frito,Quincenal,69,3,9,Rápido,Medio,8,Sí,7
18152,Pizza,Semanal,62,6,4,Rápido,Medio,5,Sí,5
18153,Sándwiches,Semanal,36,10,8,Rápido,Medio,10,Sí,9
18154,Pizza,Quincenal,159,7,9,Rápido,Medio,5,Sí,7
18155,Pollo Frito,Semanal,76,8,9,Rápido,Medio,5,No,7
18156,Pollo Frito,Semanal,63,8,9,Aceptable,Alto,10,Sí,9
18157,Pollo Frito,Semanal,90,6,8,Aceptable,Bajo,1,Sí,5
18158,Hamburguesas,Semanal,68,8,6,Rápido,Medio,7,Sí,7
18159,Hamburguesas,Mensual,35,5,6,Rápido,Medio,3,No,5
18160,Pollo Frito,Ocasional,66,7,5,Lento,Bajo,7,Sí,6
18161,Hamburguesas,Semanal,115,9,8,Rápido,Alto,4,Sí,7
18162,Pollo Frito,Diario,85,9,4,Rápido,Alto,9,Sí,7
18163,Pizza,Semanal,53,8,9,Rápido,Bajo,8,Sí,8
18164,Hamburguesas,Quincenal,84,8,3,Rápido,Medio,6,Sí,6
18165,Pollo Frito,Semanal,60,1,8,Aceptable,Medio,6,No,5
18166,Pollo Frito,Mensual,81,8,9,Aceptable,Medio,4,No,7
18167,Hamburguesas,Mensual,110,10,10,Rápido,Medio,0,Sí,7
18168,Pizza,Semanal,96,4,8,Aceptable,Alto,7,Sí,6
18169,Sándwiches,Semanal,41,9,9,Rápido,Alto,9,Sí,9
18170,Hot Dogs,Quincenal,29,4,7,Lento,Medio,9,No,7
18171,Pollo Frito,Mensual,80,6,8,Rápido,Medio,9,Sí,8
18172,Sándwiches,Diario,91,8,9,Rápido,Medio,9,Sí,9
18173,Tacos,Ocasional,88,6,5,Aceptable,Alto,10,Sí,7
18174,Shawarmas,Quincenal,67,8,7,Lento,Medio,7,Sí,7
18175,Hamburguesas,Quincenal,85,7,10,Rápido,Medio,5,No,7
18176,Pollo Frito,Semanal,114,10,0,Rápido,Bajo,6,Sí,5
18177,Hamburguesas,Mensual,51,6,5,Aceptable,Bajo,8,Sí,6
18178,Pizza,Semanal,111,9,9,Aceptable,Medio,10,Sí,9
18179,Pollo Frito,Mensual,98,9,10,Rápido,Medio,0,No,6
18180,Pollo Frito,Quincenal,76,10,9,Rápido,Medio,9,Sí,9
18181,Sándwiches,Ocasional,73,7,10,Rápido,Medio,7,Sí,8
18182,Hamburguesas,Quincenal,71,4,3,Rápido,Medio,3,No,3
18183,Hamburguesas,Mensual,65,0,5,Rápido,Medio,8,No,4
18184,Pollo Frito,Quincenal,63,7,7,Lento,Bajo,9,Sí,8
18185,Pollo Frito,Ocasional,57,7,6,Lento,Medio,5,Sí,6
18186,Tacos,Ocasional,48,9,5,Aceptable,Bajo,9,Sí,8
18187,Tacos,Quincenal,50,6,7,Rápido,Alto,8,Sí,7
18188,Pizza,Quincenal,150,7,6,Aceptable,Medio,1,Sí,5
18189,Hamburguesas,Quincenal,35,7,7,Lento,Bajo,7,Sí,7
18190,Hamburguesas,Semanal,102,9,7,Rápido,Bajo,9,Sí,8
18191,Hot Dogs,Mensual,52,8,8,Rápido,Medio,7,Sí,8
18192,Pizza,Semanal,155,8,10,Aceptable,Medio,9,Sí,9
18193,Sándwiches,Quincenal,40,0,8,Rápido,Medio,2,Sí,3
18194,Hot Dogs,Mensual,49,4,9,Rápido,Bajo,8,Sí,7
18195,Shawarmas,Mensual,64,0,5,Aceptable,Medio,8,Sí,4
